,sofifa_id,short_name,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
0,158023,L. Messi,RWSTCF,78000000,1,320000,170,72,Paris Saint-Germain,Argentina,Yes,92,91,95,26.33333333,85.8,94,90.2,77.8,26.33333333,73.83333333
1,188545,R. Lewandowski,ST,119500000,1,270000,185,81,FC Bayern M?nchen,Poland,Yes,92,79,86,32,86,81.4,81.6,84.8,32,80.66666667
2,20801,Cristiano Ronaldo,STLW,45000000,1,270000,187,83,Manchester United,Portugal,Yes,94,80,88,26.66666667,87.6,83.6,85.4,87.2,26.66666667,74.33333333
3,190871,Neymar Jr,LWCAM,129000000,1,270000,175,68,Paris Saint-Germain,Brazil,Yes,83,86,94,32,80.6,89.2,90.2,71.8,32,77
4,192985,K. De Bruyne,CMCAM,125500000,1,350000,181,70,Manchester City,Belgium,Yes,86,93,88,62,81.4,88,80,81.6,62,82.66666667
6,231747,K. Mbapp?,STLW,194000000,1,230000,182,73,Paris Saint-Germain,France,Yes,88,80,92,30.66666667,82.2,80.8,92.4,82.2,30.66666667,73.5
7,167495,M. Neuer,GK,13500000,1,86000,193,93,FC Bayern M?nchen,Germany,Yes,,,,12.66666667,24.8,33.8,57.4,56.8,12.66666667,43
8,192448,M. ter Stegen,GK,99000000,1,250000,187,85,FC Barcelona,Germany,Yes,,,,16,23.6,28.8,51.2,53.6,16,40.16666667
9,202126,H. Kane,ST,129500000,1,240000,188,89,Tottenham Hotspur,England,Yes,91,83,83,41.33333333,86.6,80.4,74.4,84.8,41.33333333,81.16666667
10,215914,N. Kant?,CDMCM,100000000,1,230000,168,70,Chelsea,France,Yes,66,75,82,89.66666667,65,67.4,84.8,76.4,89.66666667,78.66666667
11,165153,K. Benzema,CFST,66000000,1,350000,185,81,Real Madrid CF,France,Yes,86,81,87,28.33333333,85.2,80.8,78.8,80.6,28.33333333,75.5
12,192119,T. Courtois,GK,85500000,1,250000,199,96,Real Madrid CF,Belgium,Yes,,,,18,17.2,22,57,49.8,18,31.33333333
13,200104,H. Son,LMCFLW,104000000,1,220000,183,78,Tottenham Hotspur,Korea Republic,Yes,87,82,86,39,80.2,80.8,86,77.8,39,72.83333333
14,200145,Casemiro,CDM,88000000,1,310000,185,84,Real Madrid CF,Brazil,Yes,73,76,73,86.66666667,69.4,73.6,68.6,87,86.66666667,80.5
15,203376,V. van Dijk,CB,86000000,1,230000,193,92,Liverpool,Netherlands,Yes,60,71,72,90,63.2,72.4,71,79.2,90,72.83333333
16,208722,S. Man?,LW,101000000,1,270000,175,69,Liverpool,Senegal,Yes,83,80,89,40.66666667,81.4,78,91,81.4,40.66666667,73.16666667
18,210257,Ederson,GK,94000000,1,200000,188,86,Manchester City,Brazil,Yes,,,,17.33333333,25.4,32.8,64.6,54.6,17.33333333,46
19,212622,J. Kimmich,CDMRB,108000000,1,160000,177,75,FC Bayern M?nchen,Germany,Yes,73,86,84,83,77.4,80.8,79.6,80.6,83,77.83333333
20,212831,Alisson,GK,82000000,1,190000,191,91,Liverpool,Brazil,Yes,,,,16.66666667,24.8,27.6,53.4,47.8,16.66666667,34.16666667
