,sofifa_id,short_name,overall,player_positions,value_eur,league_level,wage_eur,height_cm,weight_kg,player_face_url,club_name,nationality_name,real_face,shooting,passing,dribbling,defending,attacking,skill,movement,power,defending,mentality
0,158023,L. Messi,93,"RW, ST, CF",78000000.0,1.0,320000.0,170,72,https://cdn.sofifa.net/players/158/023/22_120.png,Paris Saint-Germain,Argentina,Yes,92.0,91.0,95.0,26.333333333333332,85.8,94.0,90.2,77.8,26.333333333333332,73.83333333333333
1,188545,R. Lewandowski,92,ST,119500000.0,1.0,270000.0,185,81,https://cdn.sofifa.net/players/188/545/22_120.png,FC Bayern München,Poland,Yes,92.0,79.0,86.0,32.0,86.0,81.4,81.6,84.8,32.0,80.66666666666667
2,20801,Cristiano Ronaldo,91,"ST, LW",45000000.0,1.0,270000.0,187,83,https://cdn.sofifa.net/players/020/801/22_120.png,Manchester United,Portugal,Yes,94.0,80.0,88.0,26.666666666666668,87.6,83.6,85.4,87.2,26.666666666666668,74.33333333333333
3,190871,Neymar Jr,91,"LW, CAM",129000000.0,1.0,270000.0,175,68,https://cdn.sofifa.net/players/190/871/22_120.png,Paris Saint-Germain,Brazil,Yes,83.0,86.0,94.0,32.0,80.6,89.2,90.2,71.8,32.0,77.0
4,192985,K. De Bruyne,91,"CM, CAM",125500000.0,1.0,350000.0,181,70,https://cdn.sofifa.net/players/192/985/22_120.png,Manchester City,Belgium,Yes,86.0,93.0,88.0,62.0,81.4,88.0,80.0,81.6,62.0,82.66666666666667
6,231747,K. Mbappé,91,"ST, LW",194000000.0,1.0,230000.0,182,73,https://cdn.sofifa.net/players/231/747/22_120.png,Paris Saint-Germain,France,Yes,88.0,80.0,92.0,30.666666666666668,82.2,80.8,92.4,82.2,30.666666666666668,73.5
7,167495,M. Neuer,90,GK,13500000.0,1.0,86000.0,193,93,https://cdn.sofifa.net/players/167/495/22_120.png,FC Bayern München,Germany,Yes,,,,12.666666666666666,24.8,33.8,57.4,56.8,12.666666666666666,43.0
8,192448,M. ter Stegen,90,GK,99000000.0,1.0,250000.0,187,85,https://cdn.sofifa.net/players/192/448/22_120.png,FC Barcelona,Germany,Yes,,,,16.0,23.6,28.8,51.2,53.6,16.0,40.166666666666664
9,202126,H. Kane,90,ST,129500000.0,1.0,240000.0,188,89,https://cdn.sofifa.net/players/202/126/22_120.png,Tottenham Hotspur,England,Yes,91.0,83.0,83.0,41.333333333333336,86.6,80.4,74.4,84.8,41.333333333333336,81.16666666666667
10,215914,N. Kanté,90,"CDM, CM",100000000.0,1.0,230000.0,168,70,https://cdn.sofifa.net/players/215/914/22_120.png,Chelsea,France,Yes,66.0,75.0,82.0,89.66666666666667,65.0,67.4,84.8,76.4,89.66666666666667,78.66666666666667
11,165153,K. Benzema,89,"CF, ST",66000000.0,1.0,350000.0,185,81,https://cdn.sofifa.net/players/165/153/22_120.png,Real Madrid CF,France,Yes,86.0,81.0,87.0,28.333333333333332,85.2,80.8,78.8,80.6,28.333333333333332,75.5
12,192119,T. Courtois,89,GK,85500000.0,1.0,250000.0,199,96,https://cdn.sofifa.net/players/192/119/22_120.png,Real Madrid CF,Belgium,Yes,,,,18.0,17.2,22.0,57.0,49.8,18.0,31.333333333333332
13,200104,H. Son,89,"LM, CF, LW",104000000.0,1.0,220000.0,183,78,https://cdn.sofifa.net/players/200/104/22_120.png,Tottenham Hotspur,Korea Republic,Yes,87.0,82.0,86.0,39.0,80.2,80.8,86.0,77.8,39.0,72.83333333333333
14,200145,Casemiro,89,CDM,88000000.0,1.0,310000.0,185,84,https://cdn.sofifa.net/players/200/145/22_120.png,Real Madrid CF,Brazil,Yes,73.0,76.0,73.0,86.66666666666667,69.4,73.6,68.6,87.0,86.66666666666667,80.5
15,203376,V. van Dijk,89,CB,86000000.0,1.0,230000.0,193,92,https://cdn.sofifa.net/players/203/376/22_120.png,Liverpool,Netherlands,Yes,60.0,71.0,72.0,90.0,63.2,72.4,71.0,79.2,90.0,72.83333333333333
16,208722,S. Mané,89,LW,101000000.0,1.0,270000.0,175,69,https://cdn.sofifa.net/players/208/722/22_120.png,Liverpool,Senegal,Yes,83.0,80.0,89.0,40.666666666666664,81.4,78.0,91.0,81.4,40.666666666666664,73.16666666666667
18,210257,Ederson,89,GK,94000000.0,1.0,200000.0,188,86,https://cdn.sofifa.net/players/210/257/22_120.png,Manchester City,Brazil,Yes,,,,17.333333333333332,25.4,32.8,64.6,54.6,17.333333333333332,46.0
19,212622,J. Kimmich,89,"CDM, RB",108000000.0,1.0,160000.0,177,75,https://cdn.sofifa.net/players/212/622/22_120.png,FC Bayern München,Germany,Yes,73.0,86.0,84.0,83.0,77.4,80.8,79.6,80.6,83.0,77.83333333333333
20,212831,Alisson,89,GK,82000000.0,1.0,190000.0,191,91,https://cdn.sofifa.net/players/212/831/22_120.png,Liverpool,Brazil,Yes,,,,16.666666666666668,24.8,27.6,53.4,47.8,16.666666666666668,34.166666666666664
21,230621,G. Donnarumma,89,GK,119500000.0,1.0,110000.0,196,90,https://cdn.sofifa.net/players/230/621/22_120.png,Paris Saint-Germain,Italy,Yes,,,,16.666666666666668,16.0,23.6,58.4,51.0,16.666666666666668,37.0
22,155862,Sergio Ramos,88,CB,24000000.0,1.0,115000.0,184,82,https://cdn.sofifa.net/players/155/862/22_120.png,Paris Saint-Germain,Spain,Yes,70.0,76.0,74.0,88.0,74.8,76.2,75.0,79.6,88.0,83.5
23,176580,L. Suárez,88,ST,44500000.0,1.0,135000.0,182,83,https://cdn.sofifa.net/players/176/580/22_120.png,Atlético de Madrid,Uruguay,Yes,90.0,82.0,84.0,41.666666666666664,86.0,82.8,78.0,81.8,41.666666666666664,78.83333333333333
24,182521,T. Kroos,88,CM,75000000.0,1.0,310000.0,183,76,https://cdn.sofifa.net/players/182/521/22_120.png,Real Madrid CF,Germany,Yes,81.0,91.0,81.0,68.0,79.6,86.2,66.2,70.8,68.0,77.83333333333333
25,192505,R. Lukaku,88,ST,93500000.0,1.0,260000.0,191,94,https://cdn.sofifa.net/players/192/505/22_120.png,Chelsea,Belgium,Yes,87.0,74.0,78.0,33.666666666666664,81.8,74.8,74.2,81.0,33.666666666666664,72.66666666666667
27,202652,R. Sterling,88,"LW, RW",107500000.0,1.0,290000.0,170,69,https://cdn.sofifa.net/players/202/652/22_120.png,Manchester City,England,Yes,82.0,79.0,87.0,49.0,72.0,78.6,92.0,72.2,49.0,67.83333333333333
28,212198,Bruno Fernandes,88,CAM,107500000.0,1.0,250000.0,179,69,https://cdn.sofifa.net/players/212/198/22_120.png,Manchester United,Portugal,Yes,86.0,89.0,84.0,70.0,82.4,86.4,80.0,82.4,70.0,83.16666666666667
30,153079,S. Agüero,87,ST,51000000.0,1.0,260000.0,173,70,https://cdn.sofifa.net/players/153/079/22_120.png,FC Barcelona,Argentina,Yes,89.0,75.0,87.0,27.666666666666668,81.2,78.8,80.8,77.4,27.666666666666668,71.0
