nationality_name,club_name,short_name
Argentina,FC Barcelona,1
Argentina,Juventus,1
Argentina,Paris Saint-Germain,4
Argentina,Tottenham Hotspur,2
Belgium,AC Milan,1
Belgium,Liverpool,1
Belgium,Manchester City,2
Belgium,Real Madrid CF,2
Brazil,AC Milan,1
Brazil,FC Barcelona,3
Brazil,Juventus,4
Brazil,Liverpool,4
Brazil,Manchester City,4
Brazil,Manchester United,2
Brazil,Paris Saint-Germain,3
Brazil,Real Madrid CF,5
Brazil,Tottenham Hotspur,2
Colombia,Juventus,1
Colombia,Tottenham Hotspur,1
Croatia,AC Milan,1
Croatia,FC Bayern München,1
Croatia,Real Madrid CF,1
Denmark,AC Milan,1
Denmark,FC Barcelona,1
Denmark,Tottenham Hotspur,1
England,AC Milan,1
England,FC Bayern München,1
England,Liverpool,10
England,Manchester City,12
England,Manchester United,13
England,Tottenham Hotspur,16
France,AC Milan,5
France,FC Barcelona,3
France,FC Bayern München,8
France,Juventus,1
France,Liverpool,2
France,Manchester City,1
France,Manchester United,3
France,Paris Saint-Germain,10
France,Real Madrid CF,3
France,Tottenham Hotspur,2
Germany,FC Barcelona,1
Germany,FC Bayern München,12
Germany,Liverpool,1
Germany,Manchester City,1
Germany,Paris Saint-Germain,2
Germany,Real Madrid CF,1
Italy,AC Milan,9
Italy,Juventus,12
Italy,Paris Saint-Germain,2
Italy,Tottenham Hotspur,1
Japan,FC Barcelona,1
Japan,Liverpool,1
Japan,Real Madrid CF,1
Korea Republic,Tottenham Hotspur,1
Morocco,FC Barcelona,1
Morocco,Paris Saint-Germain,1
Netherlands,FC Barcelona,3
Netherlands,Juventus,1
Netherlands,Liverpool,1
Netherlands,Manchester City,2
Netherlands,Manchester United,2
Netherlands,Paris Saint-Germain,2
Netherlands,Tottenham Hotspur,1
Poland,FC Bayern München,1
Poland,Juventus,1
Portugal,AC Milan,1
Portugal,Liverpool,1
Portugal,Manchester City,3
Portugal,Manchester United,3
Portugal,Paris Saint-Germain,2
Senegal,AC Milan,1
Senegal,FC Barcelona,1
Senegal,Liverpool,1
Senegal,Paris Saint-Germain,2
Serbia,Manchester United,1
Serbia,Real Madrid CF,1
Spain,AC Milan,2
Spain,FC Barcelona,15
Spain,FC Bayern München,1
Spain,Juventus,1
Spain,Liverpool,2
Spain,Manchester City,4
Spain,Manchester United,2
Spain,Paris Saint-Germain,4
Spain,Real Madrid CF,14
Spain,Tottenham Hotspur,2
Sweden,AC Milan,1
Sweden,Juventus,1
Sweden,Manchester United,2
United States,FC Barcelona,1
United States,FC Bayern München,1
United States,Juventus,1
United States,Manchester City,1
Uruguay,FC Barcelona,1
Uruguay,Juventus,1
Uruguay,Manchester United,1
Uruguay,Real Madrid CF,1
